[2024-02-01 17:29:51,932: INFO: main: Welcome to our custom log ]
[2024-02-02 19:24:53,463: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-02 19:24:53,476: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-02 19:24:53,478: INFO: common: created directory at: artifacts]
[2024-02-02 19:24:53,481: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-02 19:25:12,683: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-02 19:25:12,686: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-02 19:25:12,688: INFO: common: created directory at: artifacts]
[2024-02-02 19:25:12,690: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-02 19:29:16,088: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-02 19:29:16,091: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-02 19:29:16,093: INFO: common: created directory at: artifacts]
[2024-02-02 19:29:16,094: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-02 19:29:16,096: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-02 19:29:25,864: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-02 20:13:05,013: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-02 20:13:05,015: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-02 20:13:05,016: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-02 20:13:05,016: INFO: common: created directory at: artifacts]
[2024-02-02 20:13:05,016: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-02 20:13:05,017: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-02 20:13:14,235: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-02 20:13:15,098: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
